"Subnational electricity consumption, Great Britain, 2016",,,,,,,,,,,,,,,,,,,,,,,
"This table shows the electricity consumption and the number of electric meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,,,,,,,,
Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7 
","Number of meters
(thousands):
All Domestic
","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic
","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic
","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic
","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain (inc unallocated),All local authorities,"23,686.0","4,357.3","28,043.4","2,479.0","30,522.4","83,390.5","22,711.7","106,102.2","172,425.5","278,527.7","3,520.7","5,212.3","3,783.5","69,554.2","9,125.4","2,911.9","3,993.5","3,024.7","8,056.2","3,103.4","3,978.0"
K04000001,England and Wales (inc unallocated),All local authorities,"21,314.4","3,922.8","25,237.2","2,253.0","27,490.2","75,367.5","20,532.5","95,900.0","157,569.6","253,469.6","3,536.0","5,234.1","3,799.9","69,939.2","9,220.4","2,919.9","4,007.6","3,036.6","7,994.4","3,114.9","3,958.6"
E92000001,England,All local authorities,"19,987.9","3,821.9","23,809.8","2,105.5","25,915.3","70,907.5","19,896.7","90,804.2","144,011.7","234,815.9","3,547.5","5,205.9","3,813.7","68,399.4","9,060.9","2,923.7","3,989.8","3,043.2","8,041.3","3,121.1","3,968.0"
E12000001,North East,All local authorities,"1,151.1",69.0,"1,220.1",84.1,"1,304.1","3,620.5",345.7,"3,966.2","7,245.9","11,212.1","3,145.2","5,012.4","3,250.8","86,198.2","8,597.4","2,708.1","3,806.7","2,737.1","7,917.0","2,797.6","3,444.6"
E12000002,North West,All local authorities,"2,980.2",234.6,"3,214.9",245.9,"3,460.7","10,248.0","1,350.9","11,599.0","19,110.8","30,709.8","3,438.7","5,757.9","3,607.9","77,723.1","8,873.7","2,936.8","4,608.2","3,000.9","9,076.0","3,078.5","3,761.1"
E12000003,Yorkshire and The Humber,All local authorities,"2,214.5",173.3,"2,387.8",187.1,"2,574.9","7,449.4",938.0,"8,387.4","14,347.2","22,734.6","3,363.9","5,413.1","3,512.6","76,675.2","8,829.2","2,821.0","4,166.2","2,871.4","8,912.0","2,950.8","3,682.1"
E12000004,East Midlands,All local authorities,"1,362.8",687.6,"2,050.4",164.8,"2,215.1","4,670.6","3,045.0","7,715.6","12,858.9","20,574.5","3,427.2","4,428.6","3,763.0","78,045.0","9,288.2","2,868.4","3,401.3","3,028.1","9,659.6","3,111.1","3,921.5"
E12000005,West Midlands,All local authorities,"2,044.5",395.7,"2,440.3",201.9,"2,642.2","7,323.0","2,021.2","9,344.2","14,690.5","24,034.7","3,581.8","5,107.4","3,829.2","72,745.2","9,096.4","3,017.0","3,916.5","3,121.2","8,755.1","3,200.7","3,948.4"
E12000006,East,All local authorities,"1,865.9",767.3,"2,633.1",224.6,"2,857.7","6,981.0","3,968.1","10,949.1","15,143.9","26,093.0","3,741.4","5,171.7","4,158.2","67,438.1","9,130.8","3,062.7","3,912.3","3,259.5","8,905.9","3,342.6","4,331.1"
E12000007,London,All local authorities,"3,075.5",453.7,"3,529.2",402.4,"3,931.7","10,643.7","2,247.8","12,891.5","25,673.3","38,564.9","3,460.8","4,953.9","3,652.8","63,797.7","9,808.8","2,717.2","3,908.2","2,823.5","6,271.8","2,897.5","3,739.7"
E13000001,Inner London,All local authorities,"1,365.8",139.3,"1,505.1",235.7,"1,740.8","4,430.1",722.7,"5,152.8","16,396.8","21,549.7","3,243.6","5,188.1","3,423.6","69,574.5","12,379.4","2,413.1","4,099.8","2,500.1","5,749.0","2,593.6","3,534.1"
E13000002,Outer London,All local authorities,"1,709.7",314.4,"2,024.2",166.7,"2,190.9","6,213.6","1,525.1","7,738.7","9,276.5","17,015.2","3,634.3","4,850.2","3,823.2","55,632.9","7,766.3","2,965.4","3,839.6","3,067.0","7,066.1","3,125.5","3,890.5"
E12000008,South East,All local authorities,"3,138.2",671.2,"3,809.4",338.4,"4,147.8","12,093.8","3,619.7","15,713.5","21,713.7","37,427.2","3,853.8","5,392.6","4,124.9","64,163.7","9,023.3","3,108.3","4,197.5","3,246.6","8,032.9","3,323.7","4,241.4"
E12000009,South West,All local authorities,"2,155.2",369.5,"2,524.7",256.3,"2,781.0","7,877.4","2,360.3","10,237.7","13,227.4","23,465.1","3,655.1","6,387.9","4,055.1","51,610.1","8,437.8","2,994.1","5,317.9","3,169.3","7,071.5","3,254.8","4,343.7"
