"Subnational gas consumption, Great Britain, 2010",,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters"
,Great Britain,All local authorities,,"22,719.0",284.1,"23,003.1","344,321","196,321","540,642","15,156","690,933","23,503"
,England,All local authorities,,"19,683.4",247.3,"19,930.6","297,407","162,960","460,367","15,110","659,026","23,098"
UKC,North East,All local authorities,,"1,080.8",11.9,"1,092.7","16,620","9,478","26,099","15,378","794,974","23,885"
UKD,North West,All local authorities,,"2,833.5",34.1,"2,867.6","43,160","26,673","69,833","15,232","782,190","24,353"
UKE,Yorkshire and the Humber,All local authorities,,"2,083.1",25.6,"2,108.7","32,486","22,541","55,027","15,595","881,271","26,095"
UKF,East Midlands,All local authorities,,"1,714.8",19.9,"1,734.7","26,449","14,816","41,264","15,423","744,352","23,787"
UKG,West Midlands,All local authorities,,"2,068.1",25.0,"2,093.1","31,161","16,743","47,905","15,067","670,808","22,887"
UKH,East,All local authorities,,"2,004.5",24.0,"2,028.5","30,751","17,361","48,113","15,341","724,055","23,718"
UKI,London,All local authorities,,"2,987.7",44.3,"3,032.0","44,701","22,722","67,423","14,962","513,387","22,237"
UKJ,South East,All local authorities,,"3,130.8",41.9,"3,172.8","48,158","21,257","69,415","15,382","506,949","21,879"
UKK,South West,All local authorities,,"1,779.9",20.6,"1,800.6","23,920","11,368","35,287","13,439","550,766","19,598"
UKL,Wales,All local authorities,,"1,100.0",11.2,"1,111.3","16,142","10,327","26,469","14,674","918,636","23,819"
UKM,Scotland,All local authorities,,"1,905.2",25.4,"1,930.6","30,330","22,860","53,190","15,919","900,672","27,551"
,Unallocated,All local authorities,,30.4,0.2,30.6,443,174,616,"14,575","717,339","20,129"
00EJ,North East,County Durham,,215.3,2.1,217.4,"3,358","1,426","4,783","15,598","664,322","22,001"
00EH,North East,Darlington,,44.9,0.5,45.4,694,622,"1,316","15,443","1,243,152","28,951"
00CH,North East,Gateshead,,86.1,1.0,87.1,"1,317",846,"2,163","15,289","837,473","24,819"
00EB,North East,Hartlepool,[note 1],40.0,0.4,40.4,582,342,924,"14,549","803,326","22,857"
00EC,North East,Middlesbrough,[note 1],57.7,0.7,58.3,851,365,"1,216","14,762","556,796","20,860"
00CJ,North East,Newcastle upon Tyne,,108.8,1.8,110.6,"1,706","1,283","2,990","15,684","707,102","27,028"
00CK,North East,North Tyneside,,89.3,0.9,90.2,"1,371",559,"1,930","15,343","637,070","21,393"
00EM,North East,Northumberland,,115.3,1.3,116.7,"1,840","1,297","3,137","15,954","968,968","26,891"
00EE,North East,Redcar and Cleveland,[note 1],58.6,0.5,59.0,855,523,"1,378","14,606","1,140,850","23,346"
00CL,North East,South Tyneside,,67.2,0.6,67.8,979,253,"1,232","14,575","406,279","18,167"
00EF,North East,Stockton-on-Tees,[note 1],78.7,0.8,79.5,"1,198","1,176","2,374","15,216","1,501,614","29,853"
00CM,North East,Sunderland,,118.8,1.3,120.1,"1,868",787,"2,655","15,731","609,904","22,114"
16UB,North West,Allerdale,[note 1],36.2,0.5,36.7,571,567,"1,138","15,780","1,163,940","31,036"
16UC,North West,Barrow-in-Furness,[note 1],31.5,0.3,31.8,414,518,933,"13,157","1,634,540","29,312"
00EX,North West,Blackburn with Darwen,[note 1],56.0,0.9,56.9,900,713,"1,613","16,065","833,989","28,357"
00EY,North West,Blackpool,,62.1,0.9,63.0,922,361,"1,283","14,852","413,423","20,377"
00BL,North West,Bolton,,113.4,1.3,114.8,"1,724",546,"2,269","15,193","415,529","19,773"
30UD,North West,Burnley,,38.6,0.5,39.1,576,220,797,"14,911","469,882","20,367"
00BM,North West,Bury,,76.8,0.9,77.7,"1,242",465,"1,707","16,165","527,892","21,960"
16UD,North West,Carlisle,,41.4,0.6,42.0,630,550,"1,179","15,198","959,251","28,077"
00EQ,North West,Cheshire East,[note 1],141.8,1.9,143.7,"2,398","1,703","4,101","16,906","902,789","28,530"
00EW,North West,Cheshire West and Chester,[note 1],129.8,1.4,131.2,"1,983","1,156","3,140","15,282","827,771","23,935"
30UE,North West,Chorley,[note 1],43.4,0.4,43.8,692,204,896,"15,935","494,796","20,437"
16UE,North West,Copeland,[note 1],28.0,0.2,28.2,431,87,518,"15,418","348,991","18,360"
16UF,North West,Eden,[note 1],10.3,0.2,10.5,165,278,443,"16,026","1,672,039","42,297"
30UF,North West,Fylde,,31.7,0.5,32.1,538,591,"1,129","17,007","1,248,857","35,138"
00ET,North West,Halton,[note 1],52.5,0.5,53.0,714,578,"1,292","13,599","1,066,557","24,361"
30UG,North West,Hyndburn,,34.9,0.4,35.3,526,222,748,"15,079","513,121","21,171"
00BX,North West,Knowsley,,61.6,0.5,62.1,832,565,"1,397","13,511","1,139,077","22,505"
30UH,North West,Lancaster,,52.7,0.6,53.3,790,443,"1,234","14,995","700,271","23,126"
00BY,North West,Liverpool,,190.2,2.3,192.5,"2,612","1,683","4,295","13,735","720,354","22,308"
00BN,North West,Manchester,[note 1],176.1,2.8,178.9,"2,425","1,781","4,206","13,769","641,920","23,510"
00BP,North West,Oldham,,88.0,1.1,89.1,"1,369",463,"1,832","15,554","427,942","20,561"
30UJ,North West,Pendle,,37.8,0.5,38.3,588,267,855,"15,561","559,195","22,339"
30UK,North West,Preston,,53.5,0.8,54.4,804,410,"1,213","15,009","498,010","22,322"
30UL,North West,Ribble Valley,,19.9,0.3,20.3,357,312,669,"17,895","965,121","32,991"
00BQ,North West,Rochdale,,86.3,1.0,87.3,"1,298",536,"1,834","15,036","539,543","21,008"
30UM,North West,Rossendale,,29.6,0.4,29.9,499,327,827,"16,897","837,200","27,607"
00BR,North West,Salford,,92.7,1.2,93.8,"1,316",690,"2,006","14,205","584,695","21,379"
00CA,North West,Sefton,[note 1],115.9,1.3,117.2,"1,840",434,"2,275","15,872","335,688","19,402"
16UG,North West,South Lakeland,,38.5,0.8,39.3,619,814,"1,433","16,063","1,028,638","36,429"
30UN,North West,South Ribble,,45.0,0.5,45.5,698,305,"1,003","15,507","658,038","22,051"
00BZ,North West,St. Helens,[note 1],76.8,0.7,77.5,"1,095","1,224","2,319","14,256","1,676,875","29,911"
00BS,North West,Stockport,,116.4,1.3,117.8,"1,984",679,"2,664","17,041","510,377","22,616"
00BT,North West,Tameside,,94.5,0.9,95.4,"1,373",492,"1,865","14,533","532,725","19,545"
00BU,North West,Trafford,,90.3,1.5,91.7,"1,564","2,739","4,303","17,328","1,855,692","46,908"
00EU,North West,Warrington,,84.8,0.9,85.8,"1,284","1,171","2,455","15,134","1,234,208","28,621"
30UP,North West,West Lancashire,[note 1],40.4,0.5,40.9,671,438,"1,109","16,626","895,297","27,142"
00BW,North West,Wigan,,132.6,1.1,133.7,"1,904",961,"2,866","14,362","863,501","21,429"
00CB,North West,Wirral,,137.3,1.3,138.5,"2,110",785,"2,895","15,377","606,554","20,898"
30UQ,North West,Wyre,,44.0,0.4,44.4,699,398,"1,097","15,871","959,070","24,680"
00CC,Yorkshire and The Humber,Barnsley,,100.0,0.8,100.8,"1,497","1,096","2,592","14,968","1,315,678","25,715"
00CX,Yorkshire and The Humber,Bradford,,194.7,2.9,197.5,"3,306","1,966","5,272","16,982","688,743","26,691"
00CY,Yorkshire and The Humber,Calderdale,,86.7,1.3,88.0,"1,411",697,"2,108","16,276","530,594","23,949"
36UB,Yorkshire and The Humber,Craven,,20.4,0.3,20.7,336,124,460,"16,491","380,113","22,222"
00CE,Yorkshire and The Humber,Doncaster,,123.1,1.1,124.3,"1,866","1,162","3,027","15,154","1,015,408","24,364"
00FB,Yorkshire and The Humber,East Riding of Yorkshire,[note 1],125.6,1.3,126.9,"2,024","1,489","3,513","16,109","1,177,194","27,685"
36UC,Yorkshire and The Humber,Hambleton,,23.6,0.3,23.9,378,230,608,"16,025","807,747","25,479"
36UD,Yorkshire and The Humber,Harrogate,,56.2,1.0,57.3,991,526,"1,516","17,614","519,998","26,486"
00FA,Yorkshire and The Humber,"Kingston upon Hull, City of",[note 1],109.5,1.3,110.8,"1,471","1,082","2,553","13,433","822,967","23,040"
00CZ,Yorkshire and The Humber,Kirklees,[note 1],171.1,2.2,173.3,"2,764","1,354","4,119","16,151","615,094","23,760"
00DA,Yorkshire and The Humber,Leeds,[note 1],299.9,4.0,303.9,"4,675","2,328","7,002","15,588","577,792","23,042"
00FC,Yorkshire and The Humber,North East Lincolnshire,[note 1],68.7,0.7,69.3,969,"2,579","3,548","14,114","3,895,987","51,188"
00FD,Yorkshire and The Humber,North Lincolnshire,[note 1],64.8,0.6,65.4,992,735,"1,727","15,315","1,186,871","26,399"
36UE,Yorkshire and The Humber,Richmondshire,,12.1,0.2,12.3,197,145,342,"16,290","615,279","27,760"
00CF,Yorkshire and The Humber,Rotherham,[note 1],108.4,1.1,109.5,"1,638",866,"2,504","15,103","793,885","22,860"
36UF,Yorkshire and The Humber,Ryedale,,12.8,0.2,13.0,199,265,464,"15,576","1,496,619","35,814"
36UG,Yorkshire and The Humber,Scarborough,,45.9,0.6,46.6,694,437,"1,131","15,113","707,070","24,299"
36UH,Yorkshire and The Humber,Selby,,25.6,0.2,25.9,399,"1,138","1,537","15,571","5,013,498","59,445"
00CG,Yorkshire and The Humber,Sheffield,[note 1],219.0,2.8,221.8,"3,405","2,234","5,640","15,550","809,269","25,432"
00DB,Yorkshire and The Humber,Wakefield,[note 1],137.7,1.5,139.2,"2,072","1,439","3,512","15,044","983,848","25,225"
00FF,Yorkshire and The Humber,York,,77.3,1.1,78.4,"1,203",648,"1,851","15,575","565,557","23,614"
17UB,East Midlands,Amber Valley,,51.0,0.5,51.5,808,386,"1,194","15,861","732,501","23,197"
37UB,East Midlands,Ashfield,,49.9,0.5,50.4,773,303,"1,077","15,482","630,567","21,349"
37UC,East Midlands,Bassetlaw,[note 1],39.7,0.4,40.1,608,251,859,"15,312","648,130","21,440"
31UB,East Midlands,Blaby,,37.4,0.4,37.8,610,182,792,"16,318","455,045","20,950"
17UC,East Midlands,Bolsover,,30.8,0.3,31.1,469,184,654,"15,218","682,941","21,015"
32UB,East Midlands,Boston,,20.9,0.2,21.1,311,103,414,"14,897","476,122","19,619"
37UD,East Midlands,Broxtowe,,46.9,0.4,47.3,746,210,956,"15,897","524,045","20,203"
31UC,East Midlands,Charnwood,,65.3,0.8,66.2,"1,037",675,"1,712","15,870","796,444","25,858"
17UD,East Midlands,Chesterfield,,45.9,0.5,46.4,674,333,"1,008","14,691","611,622","21,695"
34UB,East Midlands,Corby,[note 1],25.7,0.3,26.0,378,945,"1,323","14,732","2,788,362","50,897"
34UC,East Midlands,Daventry,,23.1,0.3,23.4,369,206,575,"15,981","600,244","24,538"
00FK,East Midlands,Derby,[note 1],100.4,1.1,101.5,"1,450",817,"2,267","14,440","775,777","22,342"
17UF,East Midlands,Derbyshire Dales,,25.1,0.5,25.5,443,295,738,"17,637","647,356","28,878"
32UC,East Midlands,East Lindsey,,38.4,0.5,38.9,567,196,763,"14,752","414,699","19,617"
34UD,East Midlands,East Northamptonshire,,31.0,0.3,31.3,469,152,620,"15,124","452,505","19,802"
17UG,East Midlands,Erewash,,48.1,0.5,48.6,718,183,901,"14,919","381,415","18,531"
37UE,East Midlands,Gedling,,47.1,0.4,47.5,779,343,"1,123","16,544","930,328","23,646"
31UD,East Midlands,Harborough,,29.6,0.4,30.0,516,193,709,"17,468","481,872","23,685"
17UH,East Midlands,High Peak,[note 1],37.1,0.5,37.6,629,284,913,"16,971","590,848","24,302"
31UE,East Midlands,Hinckley and Bosworth,,42.3,0.4,42.7,654,236,890,"15,469","573,940","20,848"
34UE,East Midlands,Kettering,,37.9,0.4,38.3,567,397,964,"14,945","1,031,284","25,163"
00FN,East Midlands,Leicester,,116.3,1.8,118.1,"1,798","1,404","3,202","15,458","772,834","27,107"
32UD,East Midlands,Lincoln,[note 1],39.7,0.5,40.3,534,328,862,"13,437","610,882","21,404"
37UF,East Midlands,Mansfield,,43.7,0.4,44.1,692,136,828,"15,855","317,661","18,779"
31UG,East Midlands,Melton,,17.3,0.2,17.5,274,226,501,"15,823","1,119,422","28,530"
37UG,East Midlands,Newark and Sherwood,,42.5,0.5,43.0,674,787,"1,461","15,852","1,602,797","33,967"
17UJ,East Midlands,North East Derbyshire,,40.9,0.4,41.2,669,239,908,"16,383","632,271","22,029"
32UE,East Midlands,North Kesteven,,35.0,0.3,35.2,532,193,724,"15,201","701,011","20,552"
31UH,East Midlands,North West Leicestershire,,34.2,0.5,34.6,559,528,"1,087","16,358","1,163,813","31,405"
34UF,East Midlands,Northampton,,85.8,1.1,86.9,"1,215",624,"1,839","14,158","573,789","21,157"
00FY,East Midlands,Nottingham,,114.8,1.7,116.5,"1,622","1,235","2,857","14,131","712,970","24,521"
31UJ,East Midlands,Oadby and Wigston,,22.0,0.4,22.4,369,134,504,"16,748","375,499","22,483"
37UJ,East Midlands,Rushcliffe,,42.9,0.4,43.3,760,419,"1,178","17,719","936,554","27,202"
00FP,East Midlands,Rutland,,12.1,0.2,12.3,210,205,415,"17,400","988,877","33,781"
17UK,East Midlands,South Derbyshire,,34.6,0.3,34.9,538,444,982,"15,525","1,526,679","28,119"
32UF,East Midlands,South Holland,[note 1],26.8,0.2,27.0,406,249,655,"15,141","1,037,032","24,213"
32UG,East Midlands,South Kesteven,,45.0,0.5,45.5,675,400,"1,074","14,986","859,270","23,619"
34UG,East Midlands,South Northamptonshire,,26.8,0.2,27.0,434,91,525,"16,241","366,568","19,459"
34UH,East Midlands,Wellingborough,,31.4,0.4,31.7,457,170,627,"14,566","439,920","19,752"
32UH,East Midlands,West Lindsey,,29.6,0.3,29.9,457,130,587,"15,426","493,571","19,636"
00CN,West Midlands,Birmingham,[note 1],383.6,5.4,389.1,"5,940","3,416","9,356","15,483","631,216","24,048"
47UB,West Midlands,Bromsgrove,,35.6,0.5,36.0,618,134,751,"17,366","283,466","20,843"
41UB,West Midlands,Cannock Chase,,39.0,0.4,39.4,604,241,846,"15,473","687,972","21,465"
00CQ,West Midlands,Coventry,,124.8,1.3,126.1,"1,750",958,"2,708","14,030","734,864","21,480"
00CR,West Midlands,Dudley,,128.3,1.4,129.8,"1,909",743,"2,652","14,876","522,841","20,439"
41UC,West Midlands,East Staffordshire,,41.7,0.5,42.2,625,652,"1,277","14,994","1,314,360","30,274"
00GA,West Midlands,"Herefordshire, County of",,49.1,0.6,49.8,663,563,"1,226","13,490","872,786","24,628"
41UD,West Midlands,Lichfield,,38.0,0.5,38.5,636,166,801,"16,734","354,147","20,841"
47UC,West Midlands,Malvern Hills,,20.9,0.3,21.1,312,97,409,"14,974","342,400","19,343"
41UE,West Midlands,Newcastle-under-Lyme,,49.3,0.5,49.8,783,491,"1,274","15,860","1,016,418","25,559"
44UB,West Midlands,North Warwickshire,,22.4,0.3,22.7,353,315,668,"15,764","1,034,978","29,396"
44UC,West Midlands,Nuneaton and Bedworth,,50.2,0.5,50.7,731,218,949,"14,556","436,598","18,709"
47UD,West Midlands,Redditch,,34.1,0.4,34.5,469,185,654,"13,754","469,057","18,959"
44UD,West Midlands,Rugby,,38.1,0.5,38.6,584,374,958,"15,311","823,064","24,812"
00CS,West Midlands,Sandwell,,121.0,1.5,122.4,"1,712","1,064","2,776","14,148","730,779","22,671"
00GG,West Midlands,Shropshire,,85.5,1.0,86.6,"1,224",698,"1,922","14,309","676,621","22,205"
00CT,West Midlands,Solihull,,81.2,0.9,82.2,"1,361",729,"2,090","16,748","790,575","25,431"
41UF,West Midlands,South Staffordshire,,39.8,0.3,40.2,659,320,979,"16,546","966,369","24,374"
41UG,West Midlands,Stafford,,46.8,0.5,47.3,748,376,"1,123","15,973","698,132","23,724"
41UH,West Midlands,Staffordshire Moorlands,,35.2,0.3,35.5,581,310,891,"16,509","926,658","25,090"
00GL,West Midlands,Stoke-on-Trent,[note 1],106.6,1.2,107.8,"1,520","1,088","2,608","14,262","890,210","24,192"
44UE,West Midlands,Stratford-on-Avon,,35.5,0.5,36.0,554,205,759,"15,614","389,426","21,083"
41UK,West Midlands,Tamworth,,29.5,0.3,29.8,420,160,580,"14,241","545,449","19,484"
00GF,West Midlands,Telford and Wrekin,,65.2,0.8,66.0,913,598,"1,511","14,007","747,789","22,904"
00CU,West Midlands,Walsall,,103.5,1.2,104.7,"1,589",719,"2,308","15,350","598,491","22,045"
44UF,West Midlands,Warwick,,50.9,0.7,51.6,789,279,"1,068","15,497","377,260","20,681"
00CW,West Midlands,Wolverhampton,,96.5,1.3,97.8,"1,475",690,"2,166","15,289","531,921","22,147"
47UE,West Midlands,Worcester,,39.7,0.5,40.2,532,252,784,"13,394","539,090","19,517"
47UF,West Midlands,Wychavon,,37.4,0.4,37.9,549,534,"1,083","14,672","1,201,705","28,586"
47UG,West Midlands,Wyre Forest,,38.6,0.4,39.0,560,169,729,"14,514","459,441","18,718"
42UB,East,Babergh,,23.6,0.2,23.8,352,149,501,"14,960","603,312","21,066"
22UB,East,Basildon,,68.2,0.6,68.8,990,374,"1,364","14,521","587,359","19,824"
00KB,East,Bedford,,55.8,0.8,56.5,850,342,"1,192","15,235","449,250","21,077"
22UC,East,Braintree,,45.8,0.5,46.3,694,250,944,"15,171","496,255","20,402"
33UB,East,Breckland,,31.1,0.3,31.4,431,161,593,"13,885","477,011","18,868"
22UD,East,Brentwood,,29.3,0.5,29.8,540,133,673,"18,430","292,726","22,633"
33UC,East,Broadland,,41.3,0.3,41.6,622,124,746,"15,054","446,174","17,947"
26UB,East,Broxbourne,[note 1],34.7,0.4,35.1,530,143,673,"15,267","356,376","19,173"
12UB,East,Cambridge,,42.9,1.2,44.0,645,610,"1,255","15,040","530,484","28,506"
22UE,East,Castle Point,,34.5,0.3,34.8,589,77,666,"17,039","289,512","19,120"
00KC,East,Central Bedfordshire,,93.8,0.9,94.6,"1,432",383,"1,815","15,276","434,234","19,180"
22UF,East,Chelmsford,,57.3,0.7,58.0,908,276,"1,184","15,839","416,381","20,425"
22UG,East,Colchester,,58.9,0.6,59.5,876,301,"1,177","14,868","472,706","19,759"
26UC,East,Dacorum,,55.1,0.8,55.9,910,254,"1,164","16,517","336,654","20,833"
12UC,East,East Cambridgeshire,,24.2,0.2,24.4,363,84,447,"14,988","399,830","18,297"
26UD,East,East Hertfordshire,,46.1,0.6,46.7,775,284,"1,058","16,803","439,848","22,640"
22UH,East,Epping Forest,[note 1],46.4,0.8,47.2,830,450,"1,280","17,888","573,262","27,123"
12UD,East,Fenland,,32.7,0.3,33.0,484,678,"1,162","14,813","2,230,591","35,239"
42UC,East,Forest Heath,,16.7,0.2,17.0,232,80,312,"13,866","342,875","18,407"
