"Subnational gas consumption, Great Britain, 2012",,,,,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic
","Median consumption
(kWh per meter):
Non-Domestic","Median consumption
(kWh per meter):
All meters"
K03000001,Great Britain,All local authorities,,"22,959.9",271.8,"23,231.7","323,186","186,860","510,047","14,076","687,457","21,955","12,660","154,000","12,767"
E92000001,England,All local authorities,,"19,847.9",234.9,"20,082.8","278,715","154,320","433,035","14,043","656,943","21,562","12,627","152,400","12,733"
E12000001,North East,All local authorities,,"1,085.6",11.5,"1,097.1","15,668","8,591","24,259","14,433","747,343","22,113","13,367","162,422","13,457"
E12000002,North West,All local authorities,,"2,863.8",32.0,"2,895.7","40,245","26,238","66,483","14,053","820,942","22,959","12,756","155,729","12,855"
E12000003,Yorkshire and The Humber,All local authorities,,"2,094.3",24.4,"2,118.7","30,480","22,185","52,665","14,554","909,909","24,858","13,248","152,617","13,351"
E12000004,East Midlands,All local authorities,,"1,733.9",18.9,"1,752.7","24,870","14,342","39,212","14,343","760,073","22,372","13,183","155,869","13,277"
E12000005,West Midlands,All local authorities,,"2,080.5",23.7,"2,104.2","29,210","16,073","45,283","14,040","678,883","21,521","12,851","162,702","12,949"
E12000006,East,All local authorities,,"2,025.9",22.7,"2,048.6","28,804","15,794","44,598","14,218","695,260","21,770","12,797","150,044","12,892"
E12000007,London,All local authorities,,"3,004.0",42.0,"3,045.9","41,660","21,378","63,038","13,868","509,234","20,696","11,999","151,024","12,143"
E12000008,South East,All local authorities,,"3,153.0",39.9,"3,193.0","45,345","18,700","64,045","14,382","468,354","20,058","12,717","141,960","12,831"
E12000009,South West,All local authorities,,"1,807.0",19.9,"1,826.9","22,433","11,019","33,452","12,414","553,730","18,311","11,021","152,855","11,108"
W92000004,Wales,All local authorities,,"1,105.4",10.8,"1,116.2","14,905","9,371","24,276","13,484","870,658","21,749","12,428","157,606","12,510"
S92000003,Scotland,All local authorities,,"1,944.5",24.6,"1,969.1","28,802","21,729","50,531","14,812","883,124","25,663","13,236","167,201","13,361"
Unallocated,Unallocated,All local authorities,,62.1,1.5,63.6,764,"1,440","2,205","12,312","935,349","34,661","10,639","205,188","10,698"
E06000047,North East,County Durham,,217.0,2.1,219.1,"3,175","1,375","4,549","14,629","660,555","20,764","13,681","161,843","13,759"
E06000005,North East,Darlington,,45.2,0.5,45.7,662,551,"1,213","14,652","1,208,025","26,571","13,525","167,856","13,611"
E06000001,North East,Hartlepool,[note 1],40.3,0.4,40.7,549,334,883,"13,608","818,991","21,677","12,677","163,302","12,758"
E06000002,North East,Middlesbrough,[note 1],57.6,0.6,58.2,803,344,"1,147","13,929","581,651","19,700","12,857","168,731","12,944"
E06000057,North East,Northumberland,,116.2,1.3,117.6,"1,730","1,053","2,783","14,882","807,429","23,674","13,496","141,313","13,590"
E06000003,North East,Redcar and Cleveland,[note 1],58.5,0.4,58.9,814,491,"1,306","13,932","1,118,745","22,167","13,153","154,785","13,208"
E06000004,North East,Stockton-on-Tees,[note 1],79.2,0.7,79.9,"1,141",761,"1,902","14,406","1,031,597","23,799","13,476","181,384","13,549"
E08000037,North East,Gateshead,,86.4,1.0,87.4,"1,244",781,"2,025","14,401","796,618","23,185","13,401","164,187","13,494"
E08000021,North East,Newcastle upon Tyne,,109.0,1.8,110.8,"1,592","1,237","2,829","14,606","698,771","25,539","13,131","165,741","13,285"
E08000022,North East,North Tyneside,,89.8,0.9,90.6,"1,295",575,"1,871","14,432","662,063","20,641","13,321","166,370","13,397"
E08000023,North East,South Tyneside,,67.5,0.6,68.2,915,246,"1,161","13,549","393,735","17,041","12,568","158,710","12,645"
E08000024,North East,Sunderland,,118.8,1.2,120.1,"1,748",842,"2,590","14,708","683,470","21,569","13,807","178,017","13,895"
E06000008,North West,Blackburn with Darwen,[note 1],57.3,0.8,58.1,842,411,"1,253","14,706","503,021","21,573","13,470","153,643","13,605"
E06000009,North West,Blackpool,,62.7,0.8,63.5,850,376,"1,226","13,554","473,749","19,310","12,256","149,761","12,375"
E06000049,North West,Cheshire East,[note 1],143.4,1.8,145.2,"2,261","1,877","4,139","15,766","1,067,171","28,504","14,102","132,048","14,222"
E06000050,North West,Cheshire West and Chester,[note 1],131.3,1.3,132.6,"1,848","1,703","3,551","14,076","1,268,419","26,779","12,799","151,307","12,880"
E06000006,North West,Halton,[note 1],52.6,0.5,53.1,660,513,"1,172","12,542","1,025,622","22,083","11,607","183,315","11,680"
E06000007,North West,Warrington,,85.5,0.9,86.4,"1,195","1,051","2,246","13,972","1,175,551","25,987","12,785","160,094","12,867"
E07000026,North West,Allerdale,[note 1],36.5,0.5,37.0,526,581,"1,106","14,384","1,290,638","29,910","13,128","144,522","13,227"
E07000027,North West,Barrow-in-Furness,[note 1],31.9,0.3,32.2,389,498,887,"12,174","1,665,607","27,515","11,351","158,711","11,414"
E07000028,North West,Carlisle,,41.7,0.5,42.3,581,551,"1,133","13,919","1,017,447","26,781","12,671","147,933","12,780"
E07000029,North West,Copeland,[note 1],28.3,0.2,28.5,402,88,490,"14,197","366,567","17,161","13,122","151,612","13,196"
E07000030,North West,Eden,[note 1],10.4,0.1,10.6,155,352,507,"14,846","2,363,054","47,991","13,112","171,978","13,266"
E07000031,North West,South Lakeland,,39.1,0.8,39.8,584,773,"1,358","14,957","1,009,533","34,086","13,173","130,523","13,371"
E08000001,North West,Bolton,,114.3,1.3,115.6,"1,622",538,"2,161","14,197","423,760","18,698","12,893","153,879","12,990"
E08000002,North West,Bury,,77.8,0.8,78.6,"1,171",465,"1,636","15,065","580,702","20,825","13,642","149,679","13,743"
