"Subnational gas consumption, Great Britain, 2019",,,,,,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic
","Median consumption
(kWh per meter):
Non-Domestic","Median consumption
(kWh per meter):
All meters","Number of 
non-consuming meters 
(thousands)"
K03000001,Great Britain (inc unallocated),All local authorities,,"24,096.3",266.8,"24,363.0","325,183.3","180,046.2","505,229.5","13,495.2","674,888.9","20,737.5","11,936.6","147,788.4","12,029.6",265.2
K04000001,England and Wales (inc unallocated),All local authorities,,"21,993.6",242.8,"22,236.4","296,287.5","161,583.0","457,870.5","13,471.5","665,468.2","20,591.0","11,929.8","146,991.1","12,021.5",243.8
E92000001,England,All local authorities,,"20,786.0",231.2,"21,017.2","280,952.9","151,015.8","431,968.6","13,516.5","653,111.8","20,553.1","11,955.6","146,481.7","12,049.3",221.6
E12000001,North East,All local authorities,,"1,138.0",11.3,"1,149.3","15,427.6","8,999.4","24,427.1","13,556.6","799,951.0","21,254.5","12,358.1","154,702.8","12,439.2",10.2
E12000002,North West,All local authorities,,"2,974.3",30.9,"3,005.2","39,779.0","25,199.0","64,978.0","13,374.2","814,789.3","21,621.7","11,961.8","150,033.6","12,048.0",35.5
E12000003,Yorkshire and The Humber,All local authorities,,"2,177.7",23.4,"2,201.1","30,394.8","20,987.6","51,382.4","13,957.3","895,909.6","23,343.6","12,499.0","147,848.1","12,588.6",22.2
E12000004,East Midlands,All local authorities,,"1,850.4",18.8,"1,869.2","25,227.4","14,440.1","39,667.5","13,633.2","767,886.8","21,221.2","12,299.0","148,332.7","12,382.4",18.4
E12000005,West Midlands,All local authorities,,"2,178.8",24.1,"2,202.9","29,931.3","16,978.0","46,909.4","13,737.4","704,658.3","21,294.2","12,358.7","152,418.0","12,450.6",24.0
E12000006,East,All local authorities,,"2,160.9",22.1,"2,183.0","29,234.4","15,399.6","44,634.0","13,528.8","696,686.8","20,446.0","11,982.2","142,494.1","12,068.2",19.9
E12000007,London,All local authorities,,"3,007.7",42.0,"3,049.8","41,480.5","19,928.0","61,408.5","13,791.4","473,968.1","20,135.5","11,800.2","147,347.8","11,939.7",44.7
E13000001,Inner London,All local authorities,,"1,192.5",22.1,"1,214.6","14,313.3","11,981.2","26,294.4","12,002.9","540,934.2","21,648.1","9,791.3","159,115.6","9,954.5",24.2
E13000002,Outer London,All local authorities,,"1,815.2",19.9,"1,835.1","27,167.2","7,946.8","35,114.1","14,966.3","399,419.0","19,134.4","13,192.9","135,818.3","13,303.7",20.5
E12000008,South East,All local authorities,,"3,350.2",39.0,"3,389.2","45,958.2","17,735.8","63,693.9","13,717.9","454,938.2","18,793.1","11,923.8","137,269.5","12,017.8",29.6
E12000009,South West,All local authorities,,"1,947.8",19.6,"1,967.4","23,519.5","11,348.3","34,867.8","12,074.7","579,319.3","17,722.6","10,561.9","146,914.8","10,634.7",17.1
W92000004,Wales,All local authorities,,"1,154.1",10.4,"1,164.6","14,715.6","9,241.5","23,957.0","12,750.3","887,237.7","20,571.9","11,563.2","152,224.3","11,634.7",12.0
S92000003,Scotland (inc unallocated),All local authorities,,"2,102.7",24.0,"2,126.6","28,895.8","18,463.2","47,359.0","13,742.4","770,327.0","22,269.4","12,017.8","158,293.8","12,121.9",21.3
Unallocated Great Britain,Great Britain (unallocated),Unallocated,,59.8,1.3,61.1,692.0,"1,370.7","2,062.8","11,568.8","1,074,228.9","33,762.7","10,249.8","236,956.9","10,259.8",10.3
Unallocated England and Wales,England and Wales (unallocated),Unallocated,,53.5,1.2,54.7,619.1,"1,325.8","1,944.8","11,575.2","1,133,121.3","35,585.9","10,249.8","236,129.3","10,259.8",10.2
Unallocated Scotland,Scotland (unallocated),Unallocated,,6.3,0.1,6.4,73.0,45.0,118.0,"11,514.9","424,190.5","18,302.1","10,004.0","257,000.0","10,049.6",0.1
E06000001,North East,Hartlepool,[note 1],42.1,0.4,42.5,536.5,297.1,833.6,"12,735.7","818,377.0","19,618.8","11,578.6","152,667.7","11,642.9",0.5
E06000002,North East,Middlesbrough,[note 1],60.8,0.6,61.4,782.6,307.9,"1,090.5","12,874.2","514,019.1","17,764.2","11,728.0","163,672.6","11,804.2",0.8
E06000003,North East,Redcar and Cleveland,,61.1,0.4,61.5,780.9,"1,471.7","2,252.7","12,779.3","3,422,614.7","36,605.3","11,873.4","147,465.9","11,933.7",0.5
E06000004,North East,Stockton-on-Tees,,84.2,0.8,84.9,"1,113.8",836.0,"1,949.8","13,233.6","1,085,696.1","22,956.0","12,154.3","163,360.5","12,229.5",0.7
E06000005,North East,Darlington,,47.7,0.5,48.2,652.3,510.7,"1,163.0","13,675.1","1,100,703.9","24,147.7","12,437.2","145,747.3","12,505.4",0.4
E06000047,North East,County Durham,,228.7,2.1,230.8,"3,146.6","1,179.1","4,325.7","13,761.4","560,943.6","18,745.7","12,709.2","148,554.4","12,777.4",2.0
E06000057,North East,Northumberland,,125.1,1.3,126.3,"1,763.5",964.7,"2,728.2","14,098.0","770,550.4","21,594.2","12,560.8","138,040.6","12,645.9",0.9
E08000021,North East,Newcastle upon Tyne,,113.5,1.8,115.3,"1,606.5","1,085.0","2,691.4","14,153.0","617,867.3","23,350.3","12,512.4","158,973.8","12,663.2",1.2
E08000022,North East,North Tyneside,,94.5,0.9,95.4,"1,291.2",601.6,"1,892.9","13,663.4","707,820.9","19,851.2","12,470.8","170,278.4","12,554.9",0.6
E08000023,North East,South Tyneside,,69.7,0.6,70.3,882.2,214.2,"1,096.5","12,654.9","368,758.1","15,598.1","11,568.7","160,921.9","11,628.1",0.7
E08000024,North East,Sunderland,,122.6,1.2,123.8,"1,667.5",764.7,"2,432.1","13,605.4","630,902.0","19,650.1","12,565.8","162,695.8","12,645.9",1.2
E08000037,North East,Gateshead,,88.1,0.9,89.0,"1,203.9",766.7,"1,970.6","13,665.8","880,237.0","22,149.5","12,504.5","160,279.9","12,578.6",0.8
E06000006,North West,Halton,[note 1],55.5,0.5,56.0,653.8,497.2,"1,151.0","11,789.9","982,534.7","20,567.1","10,764.0","169,520.6","10,832.5",0.5
E06000007,North West,Warrington,,88.9,0.9,89.8,"1,164.8","1,122.7","2,287.5","13,097.6","1,285,993.4","25,471.5","11,784.5","159,523.5","11,859.0",0.8
E06000008,North West,Blackburn with Darwen,,58.8,0.8,59.6,841.9,464.1,"1,306.0","14,323.5","579,461.6","21,921.6","12,982.9","146,153.9","13,109.7",1.1
E06000009,North West,Blackpool,,62.9,0.7,63.6,813.5,369.3,"1,182.9","12,940.0","537,595.0","18,611.2","11,656.2","145,752.9","11,749.3",1.0
E06000049,North West,Cheshire East,,156.5,1.8,158.3,"2,299.8","1,595.8","3,895.6","14,694.3","901,587.1","24,612.1","12,922.9","135,907.5","13,023.5",1.5
